n,ratio
234,1.2482521372549
235,1.25345064705882
236,1.25302916666667
237,1.25322398039216
238,1.25281789215686
239,1.24627259803922
240,1.25234162745098
241,1.24806179411765
242,1.24915892156863
243,1.25163602941176
244,1.2510092254902
245,1.25073571568627
246,1.25207720588235
247,1.2502737745098
248,1.24911476470588
249,1.25355539215686
250,1.25432893137255
251,1.25241057843137
252,1.25165748039216
253,1.25167048039216
254,1.25299944117647
255,1.25518052941176
256,1.24700387254902
257,1.25746999019608
258,1.2501583627451
259,1.25152864705882
260,1.24897155882353
261,1.25054021568627
262,1.25382101960784
263,1.24747783333333
264,1.24956139215686
265,1.2534947745098
266,1.25481598039216
267,1.25173616666667
268,1.24688461764706
269,1.25298310784314
270,1.25082291176471
271,1.25079101960784
272,1.24715353921569
273,1.2521991372549
274,1.24948360784314
275,1.25066424509804
276,1.24921191176471
277,1.25498806862745
278,1.249644
279,1.25909450980392
280,1.25622432352941
281,1.25136999019608
282,1.25465615686275
283,1.25521705882353
284,1.25559278431373
285,1.25150608823529
286,1.25106114705882
287,1.25604746078431
288,1.25206392156863
289,1.25642287254902
290,1.25724784313725
291,1.2554216372549
292,1.24857204901961
293,1.24985934313725
294,1.25301530392157
295,1.25610142156863
296,1.25043708823529
297,1.25323789215686
298,1.25196442156863
299,1.25323524509804
300,1.25167804901961
301,1.24856556862745
302,1.24824796078431
303,1.26018017647059
304,1.2479697254902
305,1.25312409803922
306,1.25147378431373
307,1.2557672745098
308,1.24649694117647
309,1.25371249019608
310,1.24960875490196
311,1.25642220588235
312,1.24764682352941
313,1.25212733333333
314,1.25265378431373
315,1.2519952254902
316,1.24983466666667
317,1.25312408823529
318,1.25279251960784
319,1.25885342156863
320,1.25511205882353
321,1.2534876372549
322,1.24936418627451
323,1.25060468627451
324,1.24776497058824
325,1.25398565686274
326,1.24881467647059
327,1.24857850980392
328,1.24390869607843
329,1.25281965686274
330,1.25129531372549
331,1.25892938235294
332,1.25101376470588
333,1.25295001960784
334,1.25029068627451
335,1.25384725490196
336,1.24767750980392
337,1.2499855
338,1.24927507843137
339,1.24858870588235
340,1.25371216666667
341,1.25048256862745
342,1.25287767647059
343,1.25323248039216
344,1.2502721372549
345,1.2508477745098
346,1.25371914705882
347,1.24613974509804
348,1.25760519607843
349,1.25027339215686
350,1.25063392156863
351,1.25154962745098
352,1.25502012745098
353,1.25774828431373
354,1.25389230392157
355,1.25629139215686
356,1.25458054901961
357,1.25225517647059
358,1.24724488235294
359,1.24995678431373
360,1.24801588235294
361,1.24422431372549
362,1.2523222745098
363,1.25697699019608
364,1.25564421568627
365,1.25512995098039
366,1.25341779411765
367,1.2518876372549
368,1.25409585294118
369,1.25051452941176
370,1.24865262745098
371,1.25789908823529
372,1.25402369607843
373,1.2487152745098
374,1.25458985294118
375,1.24902005882353
376,1.24435038235294
377,1.25452175490196
378,1.24842206862745
379,1.25272499019608
380,1.24744821568627
381,1.24757826470588
382,1.25289716666667
383,1.25439094117647
384,1.24716600980392
385,1.25480061764706
